phone_ms,sequence,epoch,x_ft,y_ft,heading_deg,speed_fps,yaw_rate_dps,tracking_valid,route_index,cross_track_ft,heading_error_deg,steering_us,throttle_us,fault
0,1,42,0.03,0.0,0.4,1.00,0.1,true,0,0.03,0.4,1704,1600,0
100,2,42,0.02,0.1,0.3,1.00,0.0,true,1,0.02,0.3,1706,1600,0
200,3,42,0.01,0.2,0.2,1.00,-0.1,true,2,0.01,0.2,1707,1600,0
300,4,42,0.00,0.3,0.1,1.00,0.0,true,3,0.00,0.1,1708,1600,0
400,5,42,-0.01,0.4,359.9,1.00,0.1,true,4,-0.01,-0.1,1710,1600,0
500,6,42,-0.02,0.5,359.8,1.00,0.0,true,5,-0.02,-0.2,1712,1600,0
600,7,42,-0.01,0.6,359.9,1.00,-0.1,true,6,-0.01,-0.1,1710,1600,0
700,8,42,0.00,0.7,0.0,1.00,0.0,true,7,0.00,0.0,1709,1600,0
800,9,42,0.01,0.8,0.1,1.00,0.1,true,8,0.01,0.1,1708,1600,0
900,10,42,0.02,0.9,0.2,1.00,0.0,true,9,0.02,0.2,1706,1600,0
1400,11,42,0.03,1.0,0.3,1.00,-0.1,true,9,0.03,0.3,1704,1600,0
1500,12,42,0.02,1.1,0.2,1.00,0.0,true,10,0.02,0.2,1706,1600,0
